,,,2017 Assessment,,,,2019 Assessment,,,,Change,,,
S.No.,State/UT,Geographical Area,VDF,MDF,OF,Total,VDF,MDF,OF,Total,VDF,MDF,OF,Total Change
1,Andhra Pradesh,"1,62,968","1,957","14,051","12,139","28,147",1994,13938,"13,205","29,137",37,-113,1066,990
2,Arunachal Pradesh,"83,743","20,721","30,955","15,288","66,964","21,095","30,557","15,036","66,688",374,-398,-252,-276
3,Assam,"78,438","2,797","10,192","15,116","28,105","2,795","10,279","15,253","28,327",-2,87,137,222
4,Bihar,"94,163",332,"3,260","3,707","7,299",333,"3,280","3,693","7,306",1,20,-14,7
5,Chhattisgarh,"1,35,192","7,064","32,215","16,268","55,547","7,068","32,198","16,345","55,611",4,-17,77,64
6,Delhi,"1,483",6.72,56.24,129.45,192.41,6.72,56.42,132.3,195.44,0,0.18,2.83,3.03
7,Goa,"3,702",538,576,"1,115","2,229",538,576,"1,123","2,237",0,0,8,8
8,Gujarat,"1,96,244",378,"5,200","9,179","14,757",378,"5,092","9,387","14,857",0,-108,208,100
9,Haryana,"44,212",28,452,"1,108","1,588",28,451,"1,123","1,602",0,-1,15,14
10,Himachal  Pradesh,"55,673","3,110","6,705","5,285","15,100","3,113","7,126","5,195","15,434",3,421,-90,334
11,Jammu & Kashmir *,"2,22,236","4,075","8,579","10,587","23,241","4,281","8,612","10,719","23,612",206,33,132,371
12,Jharkhand,"79,716","2,598","9,686","11,269","23,553","2,603","9,687","11,321","23,611",5,1,52,58
13,Karnataka,"1,91,791","4,502","20,444","12,604","37,550","4,501","21,048","13,026","38,575",-1,604,422,"1,025"
14,Kerala,"38,852","1,663","9,407","9,251","20,321","1,935","9,508","9,701","21,144",272,101,450,823
15,Madhya Pradesh,"3,08,252","6,563","34,571","36,280","77,414","6,676","34,341","36,465","77,482",113,-230,185,68
16,Maharashtra,"3,07,713","8,736","20,652","21,294","50,682","8,721","20,572","21,485","50,778",-15,-80,191,96
17,Manipur,"22,327",908,"6,510","9,928","17,346",905,"6,386","9,556","16,847",-3,-124,-372,-499
18,Meghalaya,"22,429",453,"9,386","7,307","17,146",489,"9,267","7,363","17,119",36,-119,56,-27
19,Mizoram,"21,081",131,"5,861","12,194","18,186",157,"5,801","12,048","18,006",26,-60,-146,-180
20,Nagaland,"16,579","1,279","4,587","6,623","12,489","1,273","4,534","6,679","12,486",-6,-53,56,-3
21,Odisha,"1,55,707","6,967","21,370","23,008","51,345","6,970","21,552","23,097","51,619",3,182,89,274
22,Punjab,"50,362",8,806,"1,023","1,837",8,801,"1,040","1,849",0,-5,17,12
23,Rajasthan,"3,42,239",78,"4,340","12,154","16,572",78,"4,342","12,210","16,630",0,2,56,58
24,Sikkim,"7,096","1,081","1,575",688,"3,344","1,102","1,552",688,"3,342",21,-23,0,-2
25,Tamil Nadu,"1,30,060","3,672","10,979","11,630","26,281","3,605","11,030","11,729","26,364",-67,51,99,83
26,Telangana,"1,12,077","1,596","8,738","10,085","20,419","1,608","8,787","10,187","20,582",12,49,102,163
27,Tripura,"10,486",656,"5,246","1,824","7,726",654,"5,236","1,836","7,726",-2,-10,12,0
28,Uttar Pradesh,"2,40,928","2,617","4,069","7,993","14,679","2,617","4,080","8,109","14,806",0,11,116,127
29,Uttarakhand,"53,483","4,969","12,884","6,442","24,295","5,047","12,805","6,451","24,303",78,-79,9,8
30,West Bengal,"88,752","2,994","4,147","9,706","16,847","3,019","4,160","9,723","16,902",25,13,17,55
31,A & N Islands,8249,"5,678",684,380,"6,742","5,678",684,381,"6,743",0,0,1,1
32,Chandigarh,114,1.36,13.82,6.38,21.56,1.36,14.24,6.43,22.03,0,0.42,0.05,0.47
33,Dadra & Nagar Haveli,491,0,80,127,207,0,80,127,207,0,0,0,0
34,Daman & Diu,111,1.4,5.82,13.27,20.49,1.4,5.69,13.4,20.49,0,-0.13,0.13,0
35,Lakshadweep,30,0,17.04,10.06,27.1,0,16.09,11.01,27.1,0,-0.95,0.95,0
36,Puducherry,490,0,17.6,36.07,53.67,0,17.66,34.75,52.41,0,0.06,-1.32,-1.26
,Total,"32,87,469",98158,"3,08,318","3,01,797","7,08,273","99,278","3,08,472","3,04,499","7,12,249","1,120",154,"2,702","3,976"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
