,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13),Type of Forest Cover in Indian States and Union Territories (2007-13)
1,(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2),(Area in km2)
2,States/UTs,Geographical area,Forest cover in 2007*,Forest cover in 2007*,Forest cover in 2007*,Forest cover in 2007*,Forest cover in 2011,Forest cover in 2011,Forest cover in 2011,Forest cover in 2011,Forest cover in 2013,Forest cover in 2013,Forest cover in 2013,Forest cover in 2013
3,States/UTs,Geographical area,Very  dense forest,Mod. dense forest,Open forest,Total,Very dense forest,Mod. dense forest,Open forest,Total,Very dense forest,Mod. dense forest,Open forest,Total
4,Andhra Pradesh,275069,820,24757,19525,45102,23,24356,20040,44419,130,24199,20043,44372
5,Arunachal Pradesh,83743,20858,31556,14939,67353,13907,39604,14508,68019,14411,37977,15389,67777
6,Assam,78438,1461,11558,14673,27692,1684,11358,14784,27826,1444,11387,14814,27645
7,Bihar,94163,231,3248,3325,6804,76,2951,2531,5558,110,3004,2465,5579
8,Chhattisgarh,135191,4162,35038,16670,55870,1540,37440,17018,55998,2256,36472,17135,55863
9,Delhi,1483,7,50,120,177,0,52,118,170,0,54,122,176
10,Goa,3702,511,624,1016,2151,0,1255,901,2156,55,1095,1014,2164
11,Gujarat,196022,376,5249,8995,14620,114,6231,8601,14946,114,6024,8577,14715
12,Haryana,44212,27,463,1104,1594,2,518,997,1517,3,523,1061,1587
13,Himachal Pradesh,55673,3224,6383,5061,14668,1093,7883,5377,14353,1097,7831,5441,14369
14,Jammu & Kashmir,222236,4298,8977,9411,22686,2102,8395,10770,21267,2135,8394,10744,21273
15,Jharkhand,79714,2590,9899,10405,22894,2544,9137,11035,22716,2544,9078,10969,22591
16,Karnataka,191791,1777,20181,14232,36190,431,22030,13988,36449,464,21634,13153,35251
17,Kerala,38863,1443,9410,6471,17324,334,9294,5949,15577,1024,8636,5935,15595
18,Madhya Pradesh,308245,6647,35007,36046,77700,4000,37843,34586,76429,4239,36843,34931,76013
19,Maharashtra,307713,8739,20834,21077,50650,8070,20317,18478,46865,8191,20193,19092,47476
20,Manipur,22327,701,5474,11105,17280,720,5818,10681,17219,923,5541,10622,17086
21,Meghalaya,22429,410,9501,7410,17321,168,6323,10348,16839,338,6808,9842,16988
22,Mizoram,21081,134,6251,12855,19240,84,7404,10942,18430,133,6173,12378,18684
23,Nagaland,16579,1274,4897,7293,13464,57,5650,7902,13609,236,5602,7881,13719
24,Orissa,155707,7073,21394,20388,48855,288,27882,20196,48366,538,27656,20180,48374
25,Punjab,50362,0,733,931,1664,0,743,837,1580,0,723,835,1558
26,Rajasthan,342239,72,4450,11514,16036,14,4482,11330,15826,14,4456,11380,15850
27,Sikkim,7096,500,2161,696,3357,458,1904,900,3262,498,1912,852,3262
28,Tamil Nadu,130058,2926,10216,10196,23338,2440,9567,10636,22643,2650,9790,10604,23044
29,Tripura,10486,111,4770,3192,8073,58,4988,3047,8093,61,4969,3125,8155
30,Uttar Pradesh,240928,1626,4563,8152,14341,1297,4699,8122,14118,1297,4682,8148,14127
31,Uttarakhand,53483,4762,14165,5568,24495,4002,14420,6043,24465,4002,14396,6044,24442
32,West Bengal,88752,2987,4644,5363,12994,2303,3742,6298,12343,2302,3777,6334,12413
33,A & N Islands,8249,3762,2405,495,6662,3475,2809,680,6964,3359,2646,624,6629
34,Chandigarh,114,1,10,6,17,1,8,6,15,1,8,6,15
35,Dadra & Nagar Haveli,491,0,114,97,211,0,145,80,225,0,130,91,221
36,Daman & Diu,112,0,1,5,6,0,2,6,8,0,2,6,8
37,Lakshadweep,32,0,16,10,26,0,12,11,23,0,15,10,25
38,Puducherry,480,0,13,31,44,0,17,23,40,0,17,25,42
39,Total,3287263,83510,319012,288377,690899,51285,339279,287769,678333,54569,332647,289872,677088
40,"* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013).","* Reported in 2009.  Source: Forest Survey of India, Dehradun. State of Forest Report (2001-2013)."
