 Estimated CO2 Emission by States(in '000 metric tons of C),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Year,J&K,HP,Punjab,Haryana,UP,Raj,Delhi,Bihar,Orissa,WB,Assam,Gujarat,Mah,Goa,MP,AP,Kar,Kerala,TN,Other 
1980,168.29,88.75,2377.12,1258.36,9343.07,1578.61,2791.54,16785.77,3787.62,11499.33,589.84,7501.63,10564.23,234.43,9890.58,4940.93,1586.15,946.09,4540.14,12345.52
1981,183.15,93.77,3114.93,1651.86,10338.96,1696.24,3113.24,18632.27,3789.09,12501.49,682.14,8875.51,11166.82,317.32,10501.97,6626.26,1859.93,1011.18,4913.12,11498.67
1982,177.7,107.79,3332.82,2009.99,10824.98,2020.46,3673.14,19639.46,3568.06,12753.5,657.02,9894.43,11534.16,316.48,11656.09,7006.99,1844.65,991.93,5384.9,13708.95
1983,190.05,109.47,3694.72,2207.57,12455.89,2734.82,3657.65,18779.63,4049.46,12313.33,622.91,10570.49,12544.69,338.25,12753.7,8051.43,2208.01,1052.42,5577.67,13480.59
1984,221.24,118.68,4026.68,2817.07,14090.17,3131.88,3890.4,16956.36,4461.8,11663.23,668.75,10705.5,13382.98,335.74,14390.89,8367.49,2376.71,1227.19,6321.76,13590.7
1985,243.01,125.38,5185.4,2788.61,16437.54,2897.46,3772.78,18854.36,4284.94,12848.32,856.71,11536.44,16059.59,382.62,15065.49,9818.61,2754.51,1546.59,7263.85,11827.08
1986,342.01,153.42,5638.13,2860.82,17317.68,3039.37,4559.56,18429.89,4107.03,12742.42,956.76,12442.96,17613.07,406.07,17388.37,11027.98,3508.02,1425.41,7915.64,12888.26
1987,344.31,177.5,6109.5,3229.41,20510.24,3322.36,4696.66,18757.25,5516.5,13307.97,1043.83,13644.8,19243.15,398.53,18206.35,10830.4,3794.35,1539.9,8253.88,12988.62
1988,277.55,222.71,5370.01,3192.99,23014.18,3758.98,4881.27,20135.12,6380.52,14190.19,1252.72,13893.88,19564.25,391,21916.93,12329.67,4392.34,1719.7,9424.96,11787.2
1989,443.32,228.78,6225.66,3698.06,24423.24,4770.77,4727.44,20552.89,7677.8,14268.27,1257.11,14355.4,21449.69,409.42,24574.08,13797.34,4265.3,1828.33,9329.52,11090.74
1990,455.46,316.68,6544.86,3307.49,24603.24,4573.6,5090.58,20345.27,8424.19,15175.41,1470.4,15081.9,22660.12,442.07,25945.04,16117.29,4569.42,1697.1,9808.62,10863.01
1991,453.78,301.62,6830.78,3983.13,26963.81,5746.56,5500.19,20383.78,9122.22,17909.15,1329.33,15776.39,24651.46,499,27238.76,19429.14,4708.82,2059.2,10550.83,9526.39
1992,373.2,343.48,7629.28,4625.08,29599.19,5830.91,5696.11,22025.59,9527.44,17197.93,1245.81,15840.44,25387.39,503.19,27406.21,20335.24,5104.21,2328.37,12409.68,8074.84
1993,365.88,331.76,8572.63,3786.6,31251.88,6251.62,6101.74,20414.13,9557.16,18439.54,1093.23,16255.28,28229.36,512.4,31345.35,23159.41,5767.29,2344.91,11802.27,8269.29
1994,381.16,422.39,8235.86,4262.36,31961.24,6427.45,6288.66,20313.46,10442.74,20435.9,1134.67,16214.27,29056.75,545.05,33412.05,24102.55,6232.59,2208.24,12298.76,12359.14
1995,467.81,498.16,8646.74,4068.34,35823.36,7058.52,5691.09,21261.2,12180.41,21432.42,1298.35,17375.52,32216.88,589.42,35096.14,27312.28,11423.18,4149.56,12837.53,4424.89
1996,474.93,547.55,9408.62,4901.59,38313.29,7903.29,5625.17,22867.63,12606.97,20984.92,1277.21,17786.82,34255.33,578.54,33988.91,28383.31,7941.59,2620.37,13765.18,13907.2
1997,506.74,549.65,10434.64,5007.92,40284.56,7763.89,6143.62,18291.14,14175.73,19212.73,1078.78,18932.99,34626.23,617.05,35698.32,29787.55,7808.47,2925.33,15663.17,19264.89
1998,569.95,488.22,9392.09,5532.66,40046.38,7960.23,4018.43,29905.87,13546.24,17753.24,923.27,18511.16,33120.79,532.49,33601.08,28364.7,8211.81,2710.8,15384.18,27692.02
1999,588.9,682.98,11012.55,5250.84,44122.21,7562.35,5129.22,23184.21,15957.24,23457.05,1205.1,20066.85,35051.86,642.17,37790.15,29475.08,8504.22,2889.45,15069.19,16279.26
2000,696.48,659.12,10845.72,5460.46,44268.3,8929.33,6033.84,24062.98,16172.3,23363.71,1097,18461.46,35595.43,652.22,39279.35,30126.02,9059.61,3067.16,17584.85,27055.64
